Epoch,Train Elbo,Validation Elbo,Epoch Time
0,-2935.561108564197,-2914.005568529212,88.51096534729004
1,-2914.7493059396975,-2909.0757218070653,84.6787519454956
2,-2911.471346036539,-2906.340482761549,84.64068603515625
3,-2910.1946546700715,-2906.210239045516,85.40628719329834
4,-2909.329780941213,-2908.7241890285327,83.6995198726654
5,-2908.6392925273553,-2905.036090353261,85.35512351989746
6,-2908.1239753671343,-2904.9678986922554,83.80894613265991
7,-2907.701153641413,-2903.473581861413,85.30361437797546
8,-2907.5094206076474,-2905.640032693614,83.87066507339478
9,-2907.151268441971,-2903.2018215013586,84.97666215896606
10,-2906.6799515318107,-2903.3984162703805,84.71539831161499
11,-2906.459084541328,-2903.620938773777,81.15053939819336
12,-2906.1437535993573,-2902.9069590692934,85.87791705131531
13,-2905.975904906871,-2902.193353006114,85.26930570602417
14,-2905.646397943062,-2902.0785495923915,86.30706882476807
15,-2905.5216191141035,-2902.410209324049,85.89652037620544
16,-2905.403045151097,-2903.755513332201,85.45998859405518
17,-2905.2883476013126,-2902.0827403192934,84.7314133644104
18,-2905.0761671390032,-2902.619960088315,84.53452920913696
19,-2904.934711445199,-2901.961137058424,88.26531529426575
20,-2904.751969937788,-2901.6122303838315,87.99508428573608
